Time,12-Month average change (%),12-Month Average
Jan 2016,9.13,174.45
Feb 2016,9.39,176.03
Mar 2016,9.75,177.83
Apr 2016,10.18,179.77
May 2016,10.75,182
Jun 2016,11.37,184.37
Jul 2016,12.04,186.86
Aug 2016,12.74,189.44
Sep 2016,13.45,192.06
Oct 2016,14.21,194.77
Nov 2016,14.96,197.51
Dec 2016,15.7,200.3
Jan 2017,16.44,203.13
Feb 2017,16.96,205.89
Mar 2017,17.32,208.62
Apr 2017,17.59,211.39
May 2017,17.63,214.08
Jun 2017,17.58,216.78
Jul 2017,17.47,219.52
Aug 2017,17.33,222.27
Sep 2017,17.17,225.04
Oct 2017,16.97,227.82
Nov 2017,16.76,230.62
Dec 2017,16.5,233.35
Jan 2018,16.22,236.07
Feb 2018,15.93,238.69
Mar 2018,15.6,241.16
Apr 2018,15.2,243.52
May 2018,14.79,245.75
Jun 2018,14.37,247.94
Jul 2018,13.95,250.14
Aug 2018,13.55,252.38
Sep 2018,13.16,254.64
Oct 2018,12.78,256.92
Nov 2018,12.41,259.23
Dec 2018,12.1,261.58
Jan 2019,11.8,
Feb 2019,11.56,
Mar 2019,11.4,
Apr 2019,11.31,
May 2019,11.3,
Jun 2019,11.3,
Jul 2019,11.29,
Aug 2019,11.27,
Sep 2019,11.27,
Oct 2019,11.3,
Nov 2019,11.35,
Dec 2019,11.4,
Jan 2020,11.46,
Feb 2020,11.54,
Mar 2020,11.62,
Apr 2020,11.71,
May 2020,11.79,
Jun 2020,11.9,
Jul 2020,12.05,
Aug 2020,12.23,
Sep 2020,12.44,
Oct 2020,12.66,
Nov 2020,12.92,
Dec 2020,13.25,
Jan 2021,13.62,
Feb 2021,14.05,
Mar 2021,14.55,
Apr 2021,15.04,
May 2021,15.5,
Jun 2021,15.93,
Jul 2021,16.3,
Aug 2021,16.6,
Sep 2021,16.83,
Oct 2021,16.96,
Nov 2021,16.98,
Dec 2021,16.95,
Jan 2022,16.87,
Feb 2022,16.73,
Mar 2022,16.54,
Apr 2022,16.45,
May 2022,16.45,
Jun 2022,16.54,
Jul 2022,16.75,
Aug 2022,17.07,
Sep 2022,17.43,
Oct 2022,17.86,
Nov 2022,18.37,
Dec 2022,18.85,
Jan 2023,19.36,
Feb 2023,19.87,
Mar 2023,20.37,
Apr 2023,20.82,
May 2023,21.2,
Jun 2023,21.54,
Jul 2023,21.92,
Aug 2023,22.38,
Sep 2023,22.9,
Oct 2023,23.44,
Nov 2023,24.01,
Dec 2023,24.66,
Jan 2024,25.35,
Feb 2024,26.18,
Mar 2024,27.13,
Apr 2024,28.1,
May 2024,29.06,
Jun 2024,30,
Jul 2024,30.76,
Aug 2024,31.26,
Sep 2024,31.73,
Oct 2024,32.26,
Nov 2024,32.77,
Dec 2024,33.24,
