STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2006,,78549,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2007,,81222,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2008,,83137,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2009,,84484,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2010,,84082,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2011,,78115,,b,break in time series,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2012,,78115,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2013,,76246,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2016,,71732,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2018,,74794,,e,estimated,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2019,,76177,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2020,,77543,,e,estimated,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2022,,79535,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2023,,81588,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AD,Andorra,2024,,85101,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AL,Albania,2006,,3003329,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AL,Albania,2007,,2981755,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AL,Albania,2008,,2958266,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AL,Albania,2009,,2936355,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AL,Albania,2010,,2918674,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,JAN,Population on 1 January - total,AL,Albania,2011,,2907361,,,,,
