Date,Value (NGN per Litre)
Jan 2016,109.6
Feb 2016,99.8
Mar 2016,135.7
Apr 2016,162.8
May 2016,150.3
Jun 2016,148.5
Jul 2016,147.7
Aug 2016,147.3
Sep 2016,146.3
Oct 2016,145.9
Nov 2016,146.7
Dec 2016,146.7
Jan 2017,148.7
Feb 2017,149.8077714
Mar 2017,149.394793
Apr 2017,149.8668144
May 2017,150.6908508
Jun 2017,150.2846829
Jul 2017,148.2072273
Aug 2017,144.4343314
Sep 2017,144.517405
Oct 2017,145.9913878
Nov 2017,145.6043243
Dec 2017,171.7860823
Jan 2018,190.8748888
Feb 2018,172.46055
Mar 2018,163.3948649
Apr 2018,151.3959459
May 2018,150.1654054
Jun 2018,148.0869144
Jul 2018,146.8185728
Aug 2018,146.8998861
Sep 2018,147.3301069
Oct 2018,147.2250236
Nov 2018,147.4585698
Dec 2018,145
Mar 2019,145.3
Apr 2019,145.9231775
May 2019,145.0331917
Jun 2019,145.3592076
Jul 2019,145.0265793
Aug 2019,145.4827027
Sep 2019,145.5308457
Oct 2019,145.4754481
Nov 2019,145.9442216
Dec 2019,145.3485987
Jan 2020,145.3689189
Feb 2020,145.4138587
Mar 2020,145.3999344
Apr 2020,130.8403989
May 2020,129.6733688
Jun 2020,128.8834992
Jul 2020,143.6260879
Aug 2020,148.7752157
Sep 2020,161.0572392
Oct 2020,161.1701548
Nov 2020,167.2741426
Dec 2020,165.6990834
Jan 2021,164.0944916
Feb 2021,166.2396344
Mar 2021,172.6790162
Apr 2021,166.3816661
May 2021,168.0631734
Jun 2021,165.6075729
Jul 2021,165.9055306
Aug 2021,164.9087162
Sep 2021,164.8501634
Oct 2021,165.6035989
Nov 2021,167.5977637
Dec 2021,165.7675548
Jan 2022,166.3986551
Feb 2022,170.4247565
Mar 2022,185.2966365
Apr 2022,172.6102703
May 2022,173.0798698
Jun 2022,175.894939
Jul 2022,190.0108051
Aug 2022,189.4634414
Sep 2022,191.6475676
Oct 2022,195.2939774
Nov 2022,202.4799156
Dec 2022,206.1873789
Jan 2023,257.1187251
Feb 2023,263.7556573
Mar 2023,264.2895598
Apr 2023,254.0562308
May 2023,238.1133042
Jun 2023,545.8273883
Jul 2023,600.3475179
Aug 2023,626.6998403
Sep 2023,626.2121758
Oct 2023,630.6343778
Nov 2023,648.9335521
Dec 2023,671.8582051
Jan 2024,668.2965507
Feb 2024,679.3644835
Mar 2024,696.7872267
Apr 2024,701.2444251
May 2024,769.62
Jun 2024,750.1722751
Jul 2024,770.5418841
Aug 2024,830.4550089
Sep 2024,1030.463388
Oct 2024,1184.825423
Nov 2024,1214.17
Dec 2024,1189.12
